Time, Altitude, Velocity, Temperature (F), Voltage
0.00, 2, 0, 89.28, 4.16
0.05, 1, -13, 89.28, 4.17
0.10, 1, 1, 89.28, 4.16
0.15, 2, 0, 89.28, 4.17
0.20, 1, -1, 89.29, 4.16
0.25, 2, -0, 89.28, 4.16
0.30, 1, -1, 89.28, 4.16
0.35, 1, -0, 89.28, 4.16
0.40, 1, -1, 89.28, 4.17
0.45, 2, -1, 89.29, 4.16
0.50, 1, -0, 89.28, 4.16
0.55, 1, 0, 89.29, 4.16
0.60, 1, 2, 89.28, 4.17
0.65, 1, 6, 89.28, 4.16
0.70, 1, 12, 89.29, 4.16
0.75, 2, 20, 89.29, 4.16
0.80, 4, 32, 89.28, 4.16
0.85, 5, 47, 89.29, 4.17
0.90, 7, 66, 89.28, 4.16
0.95, 12, 90, 89.29, 4.17
1.00, 17, 118, 89.28, 4.17
1.05, 24, 148, 89.29, 4.16
1.10, 34, 177, 89.29, 4.16
1.15, 44, 203, 89.29, 4.17
1.20, 58, 224, 89.29, 4.16
1.25, 70, 244, 89.28, 4.16
1.30, 81, 263, 89.28, 4.16
1.35, 94, 285, 89.29, 4.16
1.40, 110, 309, 89.29, 4.16
1.45, 127, 336, 89.28, 4.16
1.50, 145, 363, 89.29, 4.16
1.55, 166, 388, 89.29, 4.16
1.60, 187, 411, 89.29, 4.15
1.65, 207, 430, 89.29, 4.15
1.70, 230, 443, 89.29, 4.15
1.75, 254, 450, 89.29, 4.15
1.80, 279, 446, 89.29, 4.15
1.85, 303, 434, 89.29, 4.15
1.90, 322, 415, 89.29, 4.15
1.95, 342, 394, 89.29, 4.15
2.00, 359, 375, 89.29, 4.15
2.05, 375, 361, 89.29, 4.15
2.10, 393, 350, 89.29, 4.15
2.15, 412, 344, 89.31, 4.15
2.20, 428, 339, 89.29, 4.15
2.25, 445, 334, 89.29, 4.15
2.30, 460, 331, 89.31, 4.15
2.35, 477, 327, 89.29, 4.15
2.40, 494, 325, 89.29, 4.15
2.45, 509, 323, 89.31, 4.15
